citric acid,density,pH,alcohol,Quality
0.47,0.9932,3.09,9.1,0
0.44,0.9907,3.25,12.2,1
0.28,0.99755,3.42,9.5,0
0.37,0.99935,3.4,9.3,1
0.4,0.9932,3.3,9.8,1
0.4,0.9932,3.3,9.8,1
0.38,0.9958,3.3,9.8,1
0.38,0.99585,3.3,9.8,1
0.49,1.00055,3,8.7,0
0.04,0.9985,3.37,10.2,1
0.28,0.99505,3.22,9.5,1
0.42,0.992,2.94,11,1
0.63,0.9988,3.08,9.2,0
0.36,0.99175,3.21,10.9,1
0.34,0.9962,3.42,9.3,1
0.34,0.9962,3.42,9.3,1
0.31,0.9942,3.41,9.8,1
0.57,0.9927,3.12,9.3,1
0.6,0.9927,3.12,9.3,1
0.3,0.99985,3.4,9.4,0
0.45,0.997,3.2,10.4,1
0.48,0.9918,3.24,12.1,1
0.45,0.99215,3.02,11,1
0.19,0.99865,3.12,9,0
0.37,0.9992,3.37,9.5,1
0.44,1.0006,3.28,8.8,1
0,0.99135,3.37,11.2,0
0.22,0.99715,3.08,9.3,1
0.37,0.9992,3.37,9.5,1
0.44,1.0006,3.28,8.8,1
0.19,0.99865,3.12,9,0
0.27,0.99815,3.27,9.3,1
0.28,0.99815,3.27,9.2,1
0.28,0.99815,3.27,9.2,1
0.16,0.9949,3.46,10,1
0.27,0.99815,3.27,9.3,1
0.28,0.99815,3.27,9.2,1
0.3,0.99225,3.39,10.9,1
0.08,0.99445,3.1,10,0
0.3,0.99225,3.39,10.9,1
0.27,0.99335,3.03,9.3,0
0.26,0.99625,3.09,9,0
0.23,0.9971,3.02,9.2,1
0.33,0.9983,3.28,9.6,1
0.24,0.99445,3.42,9.4,1
0.31,0.99085,3.34,11.1,1
0.58,0.9977,3.06,8.9,1
0.49,0.9953,3.19,9.3,0
0.35,0.99775,3.07,9.3,0
0.31,0.99795,3.41,9.8,1
0.34,0.99505,3.22,9.8,1
0.58,0.9977,3.06,8.9,1
0.26,0.9975,3.17,9.6,0
0.26,0.99745,3.16,9.6,1
0.17,0.9976,3.15,9,1
0.26,0.99775,3.17,9.5,1
0.49,0.9953,3.19,9.3,0
0.05,0.9932,3.21,9.2,1
0.28,0.99405,3.42,9.1,1
0.32,1,3.38,9.5,1
0.24,0.99785,3.03,10.5,1
0.17,0.9939,3.01,9,0
0.42,0.9939,3.16,11.7,0
0.22,0.99675,3.2,9.1,0
0.17,0.9939,3.01,9,0
0.22,0.99675,3.2,9.1,0
0.29,0.98965,3.41,12.4,1
0.2,0.9971,2.96,9.2,1
0.21,0.99445,3.3,9.4,0
0.23,0.9945,3.34,9.6,1
0.42,0.9939,3.16,11.7,0
0.37,0.9958,3.26,9.8,1
0.38,0.9956,3.33,10.2,1
0.36,0.99055,3.28,12.5,1
0.36,0.9959,3.16,10.9,1
0.36,0.9925,3.16,11,1
0.31,0.9963,3.72,10.5,1
0.4,0.9935,3.05,11.5,0
0.34,0.99105,3.36,12.8,1
0.34,0.99045,3.18,12.2,1
0.31,0.9963,3.72,10.5,1
0.34,0.99155,3.14,12.8,1
0.36,0.99085,3.25,11.9,1
0.36,0.99085,3.25,11.9,1
0.36,0.99085,3.25,11.9,1
0.35,0.9924,3.16,12,1
0.35,0.9924,3.16,12,1
0.32,0.99975,3.12,8.8,1
0.32,0.99975,3.12,8.8,1
0.35,0.99315,3.21,10.8,1
0.29,0.9917,3.3,11,1
0.29,0.9917,3.3,11,1
0.37,0.99845,3.02,9.3,0
0.27,0.9921,3.08,10.8,0
0.32,0.99975,3.12,8.8,1
0.24,0.9909,3.31,11.5,1
0.35,0.99315,3.21,10.8,1
0.49,0.99855,3.1,9.4,0
0.36,0.9934,3.27,9.5,1
0.58,0.9978,3.06,8.6,0
0.36,0.9934,3.27,9.5,1
0.35,0.9949,3.49,10.3,1
0.49,0.99855,3.1,9.4,0
0.48,0.9986,3.1,9.4,0
0.39,0.99725,3.17,10,1
0.3,0.9946,3.18,9.4,0
0.35,0.99255,3.22,10.4,1
0.42,0.9996,3.29,9.1,1
0,0.9939,3.36,9.9,1
0.33,0.99,3.24,12.1,1
0,0.9937,3.35,9.9,0
0.33,0.9886,3.12,12.5,1
0.36,0.9934,3.27,9.5,1
0.46,1,3.24,8.5,1
0.42,0.9994,3.28,9,1
0.29,0.9926,3.19,10.1,1
0.65,0.9956,3.04,9.4,0
0.58,0.9978,3.06,8.6,0
0.21,0.9915,3.06,10.7,1
0.47,0.9939,2.89,9.6,0
0.29,0.9932,3.35,10.1,0
0.32,0.993,3.2,10,1
0.34,0.9898,3.28,12.7,1
0.34,0.9921,3.19,10.2,1
0.54,0.9932,3.23,8.9,1
0.36,0.9919,3.41,11.9,1
0.32,0.993,3.2,10,1
0.44,0.9953,3.19,9.9,1
0.43,0.9928,3.13,11.5,1
0.43,0.9928,3.13,11.5,1
0.29,0.9976,3.35,9.8,1
0.27,0.9906,3.4,12.2,1
0.31,0.9918,3.19,11.4,1
0.32,0.99185,3.37,11,1
0.31,0.9918,3.19,11.4,1
0.32,0.99185,3.37,11,1
0,0.994,3.3,9.9,1
0.18,0.9908,3.42,11,1
0.3,0.9928,3.58,9.4,0
0.29,0.9896,3.12,12.2,1
0.18,0.9908,3.42,11,1
0.39,0.9918,3.23,10.3,1
0.28,0.9952,3.22,10.5,1
0.26,0.9923,3.08,10.5,1
0.29,0.9915,3.05,10.9,1
0.28,0.9952,3.22,10.5,1
0.38,0.9947,3.32,11,1
0.29,0.9983,3.25,9.7,1
0.35,0.9975,3.08,8.9,0
0.3,0.995,3.2,9.6,1
0.28,0.9944,3.02,8.8,1
0.42,0.994,3.06,11.1,0
0.45,0.9944,3.08,10.3,0
0.39,0.9908,3.28,12.2,1
0.37,0.99795,3.32,9.8,0
,0.9985,3.08,8.8,0
0.2,0.99425,3.15,9.9,0
0.19,0.99425,3.15,9.9,0
0.19,0.9943,3.15,9.9,0
0.05,0.9924,3.36,9.2,0
0.26,0.9946,3.24,9.5,0
0.05,0.9924,3.36,9.2,0
0.39,0.995,3.36,10.3,1
0.32,0.9919,2.93,11,1
0.34,0.99,3.06,11.9,1
0.4,0.9923,2.94,10.2,1
0.32,0.9956,3.55,9.4,1
0.62,0.9978,3.13,8.9,1
0.62,0.9978,3.13,8.9,1
0.27,0.9967,3.17,10,1
0.41,0.9934,3.45,10.7,1
0.23,0.9936,3.28,9.8,0
0.1,0.9932,3.36,9.3,0
0.33,0.9934,3.02,9.5,1
0.35,0.998,3.58,10,0
0.58,0.9978,3.15,9,0
0.52,0.9929,3.14,11.9,1
0.43,0.9974,3.08,8.9,0
0.28,0.99685,3.18,10,1
0.33,0.99495,3.26,9.6,0
0.43,0.99745,3.08,8.9,0
0.44,0.99505,3.12,8.9,0
0.32,0.992,3.08,11.4,0
0.58,0.9978,3.15,9,0
0.29,0.9956,3.36,10,1
0.29,0.9982,3.06,9.6,1
0.28,0.99485,3.14,9.7,0
0.46,0.9971,3.25,9.5,1
0.19,0.99265,3.54,10,1
0.36,0.9904,3.14,12.2,1
0.33,0.9965,3.28,8.7,1
0.29,0.9946,3.52,10.2,1
1,0.99965,2.96,9.6,0
0.35,0.9935,2.96,10,0
0.25,0.996,3.36,9.5,0
0.39,0.9942,3.18,11.5,0
0.26,0.9936,3.08,9.5,0
0.34,0.9965,3.08,9.8,1
0.33,0.9928,3.23,10.1,1
0.37,0.9928,2.99,10,0
0.34,0.9965,3.08,9.8,1
0.26,0.9936,3.08,9.5,0
0.26,0.9938,3.07,9.5,0
0.32,0.9926,3.39,10.2,1
0.32,0.9926,3.39,10.2,1
0.34,0.9983,3.03,9,1
0.34,0.9983,3.03,9,1
0.36,0.992,3.13,12.3,1
0.34,0.9983,3.03,9,1
0.25,0.9923,3.37,11.6,1
0.21,0.9972,3.28,9.5,1
0.43,0.9928,3.15,11.5,0
0.28,0.9928,3.13,9.6,1
0.35,0.9994,3.24,9,1
0.33,0.991,3.34,12,1
0.09,0.9906,3.33,11.4,1
0.01,0.9894,3.38,12.3,1
0.19,0.9898,3.32,12.6,1
0.35,0.9994,,9,1
0.33,0.991,3.34,12,1
0.38,0.9925,3.32,11.7,1
0.25,0.9956,3.12,9.2,0
0.3,0.9946,3.51,10.3,1
0.33,0.9966,3.25,8.6,0
0.33,0.9951,3.39,10.7,1
0.71,0.9927,3.12,9.8,0
0.71,0.9927,3.12,9.8,1
0.33,0.9951,3.39,10.7,1
0.21,0.9894,3.5,12.5,1
0.34,0.9907,3.41,11.9,1
0.33,0.9925,3.44,10.8,0
0.21,0.9928,3.42,10.5,1
0.3,0.9941,3.12,10.3,1
0.3,0.9941,3.12,10.3,1
0.33,0.9925,3.44,10.8,0
0.39,0.9935,3.06,12,1
0.38,0.9932,2.95,10.2,1
0.44,0.9944,3.14,10.2,0
0.27,0.9972,3.19,9.9,0
0.18,0.994,3.38,10.1,0
0.36,0.9956,3.25,9.5,1
0.34,0.9927,3.05,10.5,1
0.34,0.9924,3.29,10.4,0
0.27,0.9966,3.31,9.5,1
0.3,0.9997,3.05,9.2,1
0.6,0.9936,3.05,10.1,1
0.36,0.9936,3.15,9.8,1
0.41,0.9952,3.09,9.4,0
0.43,0.9952,3.09,9.4,1
0.39,0.9928,3.31,10.4,1
0.26,0.9911,3.34,11.3,1
0.28,0.993,3.42,10.8,1
0.26,0.9911,3.34,11.3,1
0.06,0.9932,3.32,9.3,0
0.37,0.993,3.37,10.3,1
0.39,0.993,3.08,10.5,1
0.44,0.9932,3.11,10.3,1
0.41,0.9932,3.24,11.2,1
0.48,0.9943,3.15,10.3,1
0.47,0.9968,3.19,9.5,0
0.27,0.9994,3.66,8.9,0
0.22,0.9926,3.03,10.2,0
0.47,0.9968,2.98,9.2,0
0.44,0.9932,3.11,10.3,1
0.42,0.9916,2.95,10.5,1
0.26,0.9946,3.21,9.5,1
0.42,0.9925,3.11,11.4,1
0.42,0.9925,3.11,11.4,1
0.32,0.9935,3.25,11.1,1
0.38,0.9962,3.13,10.5,1
0.74,0.9928,3.51,12,1
0.46,0.993,3.38,9.7,1
0.44,0.993,3.32,10.2,1
0.17,0.9956,3.09,9.5,0
0.35,0.9941,3.41,10.4,1
0.44,0.9972,3.19,9.3,0
0.41,0.9948,3.48,10.5,1
0.29,0.9955,3.35,10,1
0.36,0.9972,3.49,10.2,1
0.36,0.9972,3.49,10.2,1
0.46,0.9983,2.87,9.1,0
0.38,0.9942,3.16,10.2,1
0.37,0.9936,3.54,10.7,0
0.24,0.9956,3.21,9.7,0
0.34,0.9953,3.37,9.3,1
0.34,0.9918,3.05,11,0
0.3,0.995,3.22,10.8,0
0.3,0.992,3.01,10.7,0
0.32,0.9952,3.24,10.7,0
0.48,1.001,2.95,8.8,0
0.37,0.9924,3.16,10.9,1
0.4,0.9932,3.14,10.5,0
0.1,0.9937,3.29,10,0
0.52,0.9918,3.07,10.4,0
0.38,0.9934,3.03,9.2,0
0.36,0.991,3.31,12.6,1
0.34,0.9962,3.1,9,0
0.81,0.9932,3.03,9.2,1
0.42,0.9908,2.99,11.3,0
0.55,0.9962,3.12,10.3,0
0.52,0.9918,3.07,10.4,0
0.41,0.9941,2.96,10,0
0.34,0.9931,3.51,10.7,1
0.24,0.9981,3.41,9,0
0.34,0.9931,3.51,10.7,1
0.2,0.9944,3.3,8.7,0
0.36,0.992,3.09,11.6,1
0.28,0.9966,3.34,9.4,0
0.26,0.9956,3.31,9.5,0
0.26,0.9956,3.3,9.5,0
0.37,0.9949,3.37,10.9,1
0.38,1.0002,3.22,9.7,0
0.51,0.9942,3.08,9.1,1
0.34,0.9923,3.1,11.1,1
0.44,0.9917,2.96,12.6,1
0.36,0.9931,3.35,11,1
0.32,0.992,3,11.3,1
0.38,1.0002,3.22,9.7,0
0.33,0.9953,2.96,10.9,1
0.3,0.9951,2.97,10.9,0
0.45,0.9974,3.17,9.3,1
0.19,0.9904,3.22,12.7,1
0.33,0.9974,3.37,10.1,1
0.44,0.9944,3.18,10,0
0.34,1.0004,3.49,9.8,0
0.29,0.9952,3.29,10.1,1
0.33,0.9956,3.43,9,1
0.25,0.995,3.28,9.4,1
0.25,0.995,3.28,9.4,1
0.37,0.9995,3.03,9.2,1
0.21,0.9942,3.36,10.1,1
0.69,0.9977,3.06,8.6,0
0.45,0.992,3.55,11.2,1
0.32,0.992,3.17,11.2,1
0.37,0.9995,3.03,9.2,1
0.33,0.9934,3.19,10.6,1
0.58,1.0006,3.01,9.3,1
0.35,0.9982,3.05,8.9,1
0.4,0.9928,3.42,10.6,1
0.31,0.9945,3.1,10.6,1
0.31,0.9963,3.09,8.8,0
0.33,0.9906,3.59,11,1
0.26,0.9956,3.32,10.2,1
0.21,0.9942,3.36,10.1,1
0.25,0.9962,3.31,10.1,1
0.21,0.9894,3.39,14,1
0.25,0.995,3.28,9.4,1
0.42,0.9908,3.27,11.8,1
0.4,0.9914,3.44,11.4,0
0.39,0.9938,3.12,10.7,0
0.69,0.9977,3.06,8.6,0
0.45,0.9922,3.51,11.5,1
0.45,0.992,3.55,11.2,1
0.15,0.9903,3.3,12.6,1
0.27,0.9893,3.21,12.6,1
0.4,0.9952,3.04,9.3,0
0.15,0.9903,3.3,12.6,1
0.37,0.9912,3.06,12.1,1
0.34,0.9983,3.52,9.9,1
0.4,0.9937,3.28,10.7,0
0.17,0.9932,3.26,10,0
0.38,0.9928,3.13,10.4,1
0.13,0.9922,3.29,10.5,0
0.34,0.9976,3.31,9.7,0
0.13,0.9922,3.29,10.5,0
0.16,0.9974,3.28,9,0
0.32,0.998,3.54,9.2,1
0.3,0.9931,3.17,10.1,1
0.39,0.9911,3.35,11.4,1
0.45,0.9944,2.93,10.8,0
0.4,0.9937,2.96,10.9,0
0.45,0.9974,3.2,9.2,1
0.29,0.989,3.12,12.9,1
0.29,0.992,3.23,12,1
0.27,0.9928,3.27,9.5,0
0.29,0.9918,3.06,11.8,1
0.28,0.9936,3.19,9.1,1
0.34,0.9944,3.2,9.7,1
0.31,0.9988,3.17,9.1,0
0.42,0.994,2.99,10,0
0.34,0.9953,3.25,10.4,0
0.34,0.9986,3.44,9.5,1
0.42,0.9914,3.4,12.3,1
0.37,0.9934,3.42,11.7,1
0.46,0.996,3.14,9.5,0
0.49,0.9937,2.99,11.5,0
0.33,0.9921,3.14,10.6,1
0.49,0.998,3.17,10.2,0
0.46,0.996,3.14,9.5,0
0.3,0.9933,3.25,10.5,0
0.32,0.9933,3.26,10.5,0
0.18,0.9959,3.14,8.9,0
0.32,0.9936,3.03,10.6,0
0.32,0.9953,3.17,9.5,0
0.37,0.9938,3.2,10.8,1
0.23,0.9952,3.14,9.5,0
0.17,0.9959,3.13,8.9,0
0.18,0.9959,3.14,8.9,0
0,0.9937,3.31,9.4,0
0.07,0.992,3.5,10.6,1
0.3,0.9967,3.47,9,0
0.36,0.9944,3.42,10.5,0
0.29,0.9998,3.16,9,1
0.29,0.9998,3.16,9,1
0.27,0.9942,3.27,9.4,1
0.29,0.9998,3.16,9,1
0.34,0.9945,3.29,9.6,1
0.29,0.9998,3.16,9,1
0.41,0.9946,3.15,10.2,1
0.27,0.9942,3.27,9.4,1
0.49,0.9928,3.07,10.4,1
0.32,0.9946,3.52,10.4,0
0.27,0.9927,3.23,9.5,0
0.43,0.9938,3.22,10.6,1
0.38,0.9918,3.21,11,0
0.34,0.9945,3.29,9.6,1
0.43,0.9966,3.38,9.9,1
0.45,0.9954,3.14,9.6,0
0.44,0.9913,3.01,12.8,1
0.33,0.9931,3.42,11.4,0
0.26,0.9986,3.41,10,1
0.41,0.9965,3,9.1,0
0.35,0.9984,3.36,9.4,1
0.29,0.9952,3.46,10.2,1
0.4,0.9956,2.97,9.2,0
0.25,0.9949,3.23,9.4,0
0.45,0.9954,3.14,9.6,0
0.45,0.996,3.12,10.1,1
0.33,0.9931,3.42,11.4,0
0.3,0.992,3.21,10.6,1
0.32,0.9912,3.18,12.8,1
0.64,0.9978,3.12,8.9,0
0.37,0.9938,3.09,9.3,0
0.38,0.9914,3.25,11.1,1
0.3,0.9932,3.13,9.9,1
0.47,0.9944,3.1,9.6,0
0.44,0.9913,3.01,12.8,1
0.26,0.9948,3.16,10.7,1
0.32,0.998,2.96,9.2,1
0.4,0.9998,3.36,9.1,1
0.22,0.9964,3.33,9.6,1
0.45,0.9992,3.03,9.2,1
0.26,0.9948,3.16,10.7,1
0.4,0.9998,3.36,9.1,1
0.32,0.998,2.96,9.2,1
0.37,0.9939,3,10.7,1
0.37,0.992,3.3,10.8,1
0.37,0.9922,3.3,10.8,1
0.38,0.9955,3.1,9,0
0.16,0.9917,3.48,10.7,1
0.16,0.9917,3.48,10.7,1
0.32,0.9954,3.19,9.4,0
0.46,0.9986,2.94,8.8,1
0.38,0.9955,3.1,9,0
0.4,0.9917,3.42,11.5,1
0.46,0.9907,3.23,12.5,1
0.41,0.9922,2.96,10.5,1
0.39,0.9958,3.29,9.7,0
0.36,0.993,3.23,11.3,1
0.16,0.9917,3.48,10.7,1
0.45,0.9926,2.74,10.8,1
0.42,0.9959,3.17,10.6,0
0.36,0.9906,3.04,11.7,1
0.38,0.9993,2.94,9.2,0
0.44,0.993,3.02,11.1,1
0.36,0.9906,3.04,11.7,1
0.33,0.992,3.33,11,1
0.32,0.992,3.51,12.5,1
0.39,0.994,3.16,10,1
0.42,0.9959,3.17,10.6,0
0.39,0.9908,3.26,12.3,1
0.37,0.9902,3.14,12.7,1
0.39,0.9908,3.26,12.3,1
0.38,0.9943,3.1,10.5,0
0.53,0.9921,3.23,12.5,1
0.42,0.9911,3.2,12.4,0
0.3,0.9986,3.06,8.7,1
0.37,0.992,3.17,12.4,1
0.37,0.992,3.16,12.6,1
0.3,0.9943,3.38,11,1
0.31,0.9937,3.42,10.1,1
0.31,0.993,3.03,10.5,0
0.37,0.9902,3.14,12.7,1
0.39,0.9928,3.17,10.9,0
0.37,0.9896,3.07,13.5,1
0.48,0.998,3.19,9.7,0
0.28,0.9954,3.45,9.2,1
0.42,0.9938,3.4,10.6,1
0.42,0.9918,2.98,13.3,1
0.37,0.9896,3.07,13.5,1
0.22,0.9944,3.29,10.1,0
0.72,0.9999,2.92,9.4,0
0.4,0.9953,3.18,10.6,1
0.34,0.992,3.25,11.3,1
0.31,0.9925,3.32,10.8,1
0.44,0.9981,3.15,10.4,0
0.23,0.9952,3.82,10.5,1
0.33,0.9927,3.13,9.3,0
0.32,0.9927,3.12,9.3,1
0.41,0.9911,3.29,12.2,1
0.73,0.9936,3.08,9.2,0
0.34,0.9959,3.81,10.3,1
0.65,0.9946,3.33,9.4,1
0.27,0.9948,3.28,10.2,1
0.16,0.9955,3.08,9,1
0.38,0.9951,3.06,9.3,1
0.3,0.9952,3.06,9.2,1
0.68,0.9946,3.32,9.4,1
0.65,0.9946,3.33,9.4,1
0.46,0.9944,2.92,9.5,1
0.35,0.9938,3.46,9.9,0
0.34,0.9963,3.46,11.1,1
0.34,0.991,2.99,12.3,1
0.42,1.0003,3.21,8.6,1
0.29,0.9966,3.04,9.4,0
0.56,0.9993,3.07,9.4,1
0.42,1.0003,3.21,8.6,1
0.47,0.9938,3.21,10.9,0
0.31,0.9965,3.2,9.4,0
0.47,0.9938,3.21,10.9,0
0.56,0.9993,3.07,9.4,1
0.27,0.9938,3.22,9.2,1
0.42,1.0003,3.21,8.6,1
0.29,0.9966,3.04,9.4,0
0.36,0.9942,3.33,10.8,1
0.3,0.9928,3.29,10.5,1
0.41,0.991,3.02,12.5,1
0.34,0.9911,2.99,12.1,1
0.74,0.9977,3.02,8.7,0
0.36,0.9927,3.07,12.7,1
0.34,0.9911,2.99,12.1,1
0.41,0.991,3.02,12.5,1
0.29,0.9912,3.06,11.4,1
0.4,0.9907,3.02,12.9,1
0.33,0.9902,3.15,12.8,1
0.3,0.992,3.38,11.2,1
0.33,0.994,3.14,9.7,1
0.32,0.9966,3.04,9.7,1
0.3,0.993,3.5,10.3,1
0.22,0.993,3,11.6,0
0.22,0.993,3,11.6,0
0.32,0.9966,3.04,9.7,1
0.33,0.9942,3.32,10.9,1
0.38,0.9925,3.19,12.6,1
0.39,0.9925,3.3,12.4,1
0.28,0.9928,2.96,11.5,0
0.38,0.995,2.93,10.2,1
0.4,0.9939,3.22,11.4,0
0.42,0.9958,3.3,9.6,1
0.36,0.9952,3.05,10.3,1
0.71,1,2.95,9.3,0
0.45,0.9948,3.33,10.7,1
0.4,0.99,3.13,12.8,1
0.59,0.9958,2.98,9.5,0
0.68,0.9948,3.02,10.4,1
0.55,0.9949,3.02,10.3,1
0.08,0.997,3.46,9.9,1
0.22,0.9927,3.23,10.7,1
0.54,0.9938,2.94,10.5,0
0.42,0.9949,3.08,9.6,0
0.4,0.9953,3.15,9.3,1
0.36,0.997,3.1,10,1
0.26,0.9932,3.04,11.2,1
0.34,0.9927,3.32,10.8,0
0.31,0.9932,3.54,10.3,1
0.53,0.9955,3.03,8.8,0
0.42,0.9914,3.04,12.8,1
0.37,0.991,3.23,13.2,1
0.3,0.992,3.54,10.1,1
0.26,0.9924,3.44,11,0
0.35,0.9927,3.25,10.8,1
0.48,0.9911,3.2,12.8,1
0.72,0.9958,3.12,9.2,1
0.33,0.9928,3.12,10.5,1
0.33,0.9902,3.37,11.7,1
0.43,0.994,2.85,9.5,0
0.41,0.994,2.85,9.5,0
0.32,0.9972,3.4,8.8,1
0.64,1.0004,3.15,9.3,1
0.39,0.991,3.09,12.6,1
0.5,0.9918,3.21,12.4,1
0.24,0.995,3.65,10.1,1
0.36,0.9941,3.26,11.2,1
0.3,0.9956,3.29,10,0
0.3,0.9956,3.29,10,0
0.27,0.9959,2.99,10.8,1
0.32,0.9922,3.27,10,1
0.23,0.9931,3.04,10.4,0
0.27,0.9959,2.99,10.8,1
0.31,0.9984,3.51,9.8,1
0.37,0.9908,3.26,12.2,1
0.37,0.991,3.39,12.7,1
0.39,0.9928,3.21,12.2,1
0.4,0.9936,3.15,11.9,1
0.36,0.9941,3.26,11.2,1
0.39,0.9924,2.96,10.4,0
0.39,0.9917,3.29,12.8,1
0.33,0.9906,3.28,12.7,1
0.24,0.995,3.65,10.1,1
0.3,0.9956,3.29,10,0
0.3,0.9955,3.43,9,0
0.41,0.9907,2.92,11.4,0
0.41,1,3.32,8.9,1
0.4,0.9953,3.15,9.3,1
0.32,0.9911,3.28,12,1
0.32,0.9922,3.36,10.8,1
0.26,0.9951,3.52,10.5,1
0.28,0.9948,3.59,10.6,1
0.33,0.9906,3.19,11.3,1
0.16,0.994,3.22,9.5,0
0.41,0.9907,2.92,11.4,0
0.28,0.9927,3.33,10.1,1
0.41,0.9914,3.25,10.9,1
0.24,0.9958,3.15,8.9,0
0.41,1,3.32,8.9,1
0.47,0.9984,2.9,9.3,0
0.39,0.9941,3.25,10.4,1
0.41,0.9944,3.1,12,1
0.56,0.998,2.87,9.5,1
0.56,0.998,2.87,9.5,1
0.34,0.9902,3.14,12.4,1
0.32,0.9911,3.28,11.2,1
0.41,0.9929,3.15,11.4,1
0.41,0.993,3.16,11.4,1
0.3,0.9918,3.35,11.1,1
0.2,0.992,3.1,10.4,1
0.32,0.9932,3.38,12,1
0.3,0.992,3.54,12.3,1
0.16,0.994,3.12,9.1,1
0.56,0.9923,3.24,10.5,1
0.4,0.993,3.23,11.4,1
0.29,0.9956,3.77,9.5,0
0.13,0.9907,3.42,13.7,1
0.33,0.99,3.28,13.4,1
0.29,0.9918,3.2,11.3,1
0.4,0.9926,3.06,10,1
0.26,0.995,3.49,10.1,1
0.47,0.99,3.26,12.2,1
0.33,0.99,3.28,13.4,1
0.3,0.9946,3.31,9.3,1
0.13,0.9907,3.42,13.7,1
0.33,0.9898,3.09,12.3,1
0.29,0.9918,3.2,11.3,1
0.36,0.9986,3.04,8.9,1
0.36,0.9986,3.04,8.9,1
0.34,0.9928,3.19,11.5,1
0.36,0.9986,3.04,8.9,1
0.48,0.9979,3.17,9.3,1
0.29,0.994,3.3,11.1,1
0.31,0.9937,3.34,10.9,1
0.48,0.9938,2.9,11.6,0
0.24,0.9942,3.15,10.2,0
0.36,0.9944,3.01,10.5,1
0.28,0.993,2.91,11.4,1
0.36,0.9986,3.04,8.9,1
0.34,0.9932,3.14,10.6,1
0.32,0.9934,3.31,11.6,1
0.34,0.9928,3.19,11.5,1
0.33,0.9925,3.25,12.3,1
0.49,0.9944,3.14,10.8,1
0.3,0.9909,3.29,11.3,1
0.02,0.9932,3.36,9.3,0
0.26,0.9934,3.36,10,1
0.35,1.0001,3.04,11,0
0.74,0.992,3.13,10.2,0
0.74,0.9916,3.07,10.8,1
0.49,0.998,3.1,10.1,0
0.49,0.9919,3.27,11.6,1
0.24,0.9925,3.32,9.1,0
0.74,0.9977,3.06,10,0
0.49,0.9944,3.14,10.8,1
0.49,0.991,3.25,11.4,1
0.49,0.99,3.05,12.7,1
0.49,0.9917,3.13,11.3,0
0.49,0.9923,3,10.4,1
0.49,0.9928,3.3,9.6,0
0.24,0.9923,3,10.1,0
0.49,0.9928,3.3,9.6,0
0.49,0.9902,3.1,12.1,1
0.49,0.9893,3.07,12.2,1
0.49,0.9917,3.13,11.3,0
0.24,0.9982,3.17,9.6,0
0.74,1.0005,2.99,9.2,0
0.49,0.9923,3,10.4,1
0.49,0.9951,3.23,9.5,0
0.49,0.9956,3.16,8.9,0
0.74,0.998,3.03,8.8,0
0.24,0.9928,3.16,10.5,0
0.49,0.9938,3.08,9.4,0
0.49,0.9914,3.24,12.2,1
0.49,0.9955,3.14,11.3,1
0.74,0.9924,3.25,12.2,1
0.49,0.9911,3.38,12.2,1
0.49,0.9917,3.23,11.2,1
0.49,0.9917,3.23,11.2,1
0.49,0.9932,3.2,11.5,1
0.49,0.9955,3.14,11.3,1
0.49,0.9929,3.01,9.3,0
0.49,0.9955,3.14,11.3,1
0.49,0.9958,3.14,11.8,1
0.49,1.0012,2.99,9.2,0
0.74,0.9968,3,9.2,0
0.49,0.9911,3.38,12.2,1
0.74,0.9924,3.25,12.2,1
0.74,0.991,3.31,12.2,1
0.49,0.9946,3.24,10.6,1
0.74,0.9928,3.28,12.4,1
0.49,0.9946,3.56,10.8,1
0.49,0.9917,3.23,11.2,1
0.49,0.9918,3.06,11,1
0.49,0.9926,3.16,12.7,1
0.74,0.9931,3.46,10.2,0
0.49,0.9932,3.2,11.5,1
0.49,0.9903,3.13,12.3,1
0.24,0.9928,3.19,9.8,0
0.49,0.9929,3.01,9.3,0
0.49,0.9958,3.14,11.8,1
0.49,0.9955,3.14,11.3,1
0.49,0.9911,3.15,11.4,0
0.49,0.9938,3.21,10.8,1
0.24,0.9942,2.99,9.5,0
0.49,0.9945,3.46,10.2,1
0.49,0.9962,3.22,10.7,0
0.24,0.992,3.05,10.8,1
0.24,0.9927,2.99,11.5,1
0.49,0.9948,3.32,10.7,1
0.49,0.9945,3.46,10.2,1
0.24,0.9942,3.37,10.1,1
0.49,0.9952,3.62,10.4,1
0.24,0.9942,2.99,9.5,0
0.24,0.9958,3.14,9.1,0
0.49,0.9918,2.98,10.6,1
0.49,0.9932,3.3,9.4,1
0.74,1.0004,3.51,9.8,1
0.74,0.9972,3.18,9.5,1
0.74,0.9998,2.99,9.3,0
0.49,0.9918,3.55,10.3,1
0.49,0.9918,3.06,11.1,0
0.49,0.9964,3.14,10,0
0.49,0.9936,3.13,12.3,1
0.49,0.9931,3.14,12.4,1
0.49,0.9938,3.13,12.3,1
0.24,0.9934,3.41,10.4,0
0.49,0.99,3.13,12.1,1
0.49,0.9914,3.16,12.5,1
0.24,0.9904,3.22,13,1
0.49,0.994,2.99,11,1
0.49,0.9938,3.05,10.1,0
0.24,0.9933,3.13,9.2,0
0.24,0.9909,3.27,12.6,1
0.74,0.9942,3.26,12.2,1
0.49,0.9945,3.04,9.8,1
0.49,0.9954,3.1,11,1
